date,close,open,high,low,volume,ticker,nearest_contract
2021-11-15,476.0,468.0,486.0,468.0,2492.0,Z_2021,Z_2021
2021-11-16,510.02,489.5,526.5,484.0,3774.0,Z_2021,Z_2021
2021-11-17,546.38,540.0,549.98,518.0,3050.0,Z_2021,Z_2021
2021-11-18,517.3199999999999,510.0,529.0,504.0,3194.0,Z_2021,Z_2021
2021-11-19,497.34,526.0,531.0,494.0,2282.0,Z_2021,Z_2021
2021-11-22,490.0,480.0,494.0,474.0,3260.0,Z_2021,Z_2021
2021-11-23,510.0,475.0,510.0,470.0,2942.0,Z_2021,Z_2021
2021-11-24,523.24,513.0,528.5,501.0,4094.0,Z_2021,Z_2021
2021-11-25,526.6,516.0,516.0,500.0,3084.0,Z_2021,Z_2021
2021-11-26,504.62,516.0,516.0,500.0,3084.0,Z_2021,Z_2021
2021-11-29,552.02,540.0,566.0,540.0,2380.0,Z_2021,Z_2021
2021-11-30,626.8199999999999,630.0,632.0,586.0,2398.0,Z_2021,Z_2021
2021-12-01,622.26,624.0,628.5,615.0,710.0,F_2022,F_2022
2021-12-02,619.1800000000001,614.8199999999999,630.0,597.0,1222.0,F_2022,F_2022
2021-12-03,626.6800000000001,621.0,631.0,618.0,982.0,F_2022,F_2022
2021-12-06,618.0,609.98,621.5,609.98,1044.0,F_2022,F_2022
2021-12-07,635.46,632.0,647.0,632.0,1630.0,F_2022,F_2022
2021-12-08,674.52,656.0,675.0,656.0,1556.0,F_2022,F_2022
2021-12-09,654.06,660.0,666.24,634.0,2908.0,F_2022,F_2022
2021-12-10,662.0,654.0,673.0,648.2,1576.0,F_2022,F_2022
2021-12-13,727.38,720.0,736.0,715.0,948.0,F_2022,F_2022
2021-12-14,740.8,730.0,760.0,720.0,2040.0,F_2022,F_2022
2021-12-15,761.38,759.0,774.0,739.6,1700.0,F_2022,F_2022
2021-12-16,963.56,850.0,980.0,810.0,2842.0,F_2022,F_2022
2021-12-17,904.76,870.0,934.0,830.0,1930.0,F_2022,F_2022
2021-12-20,920.2,892.0,924.6,884.0,1192.0,F_2022,F_2022
2021-12-21,1017.46,948.0,1030.0,948.0,1402.0,F_2022,F_2022
2021-12-22,997.64,952.0,1030.0,922.0,1644.0,F_2022,F_2022
2021-12-23,842.56,900.0,900.0,780.0,2068.0,F_2022,F_2022
2021-12-24,842.56,,,,,F_2022,F_2022
2021-12-27,677.18,610.0,710.0,590.0,484.0,F_2022,F_2022
2021-12-28,693.34,660.0,700.0,660.0,1012.0,F_2022,F_2022
2021-12-29,623.52,660.02,660.02,620.0,1282.0,F_2022,F_2022
2021-12-30,592.88,610.0,614.0,586.02,1268.0,F_2022,F_2022
2021-12-31,737.3,,,,,F_2022,F_2022
2022-01-03,650.0,617.0,696.0,617.0,744.0,G_2022,G_2022
2022-01-04,692.0,670.0,699.0,652.0,1356.0,G_2022,G_2022
2022-01-05,664.2,684.0,700.0,658.0,1330.0,G_2022,G_2022
2022-01-06,670.0,680.0,701.0,664.96,1634.0,G_2022,G_2022
2022-01-07,650.26,700.0,700.0,630.0,2080.0,G_2022,G_2022
2022-01-10,614.0,616.0,622.0,602.0,2598.0,G_2022,G_2022
2022-01-11,577.4200000000001,590.0,591.7,563.5,2016.0,G_2022,G_2022
2022-01-12,548.1600000000001,576.0,590.0,538.0,2342.0,G_2022,G_2022
2022-01-13,536.78,532.0,570.0,515.98,3122.0,G_2022,G_2022
2022-01-14,580.52,610.0,621.0,568.0,3504.0,G_2022,G_2022
2022-01-17,528.22,580.0,580.0,524.0,3048.0,G_2022,G_2022
2022-01-18,528.24,540.0,540.0,516.98,4612.0,G_2022,G_2022
2022-01-19,514.0,526.5,526.5,505.54,4818.0,G_2022,G_2022
2022-01-20,508.9,500.0,520.8,490.0,3332.0,G_2022,G_2022
2022-01-21,528.24,518.0,540.5,510.0,2756.0,G_2022,G_2022
2022-01-24,571.94,540.0,583.0,530.0,3086.0,G_2022,G_2022
2022-01-25,587.4,564.0,592.0,560.0,4084.0,G_2022,G_2022
2022-01-26,563.1800000000001,555.0,572.0,548.0,5348.0,G_2022,G_2022
2022-01-27,562.0,562.0,567.0,557.0,3002.0,G_2022,G_2022
2022-01-28,556.0,566.0,566.0,554.0,2794.0,G_2022,G_2022
2022-01-31,535.46,526.0,526.0,504.0,2690.0,G_2022,G_2022
2022-02-01,490.56,520.6,522.0,488.0,3676.0,H_2022,H_2022
2022-02-02,513.86,496.0,518.02,496.0,2932.0,H_2022,H_2022
2022-02-03,505.94,506.0,518.0,505.2,3468.0,H_2022,H_2022
2022-02-04,518.8199999999999,516.0,524.6,512.0,2580.0,H_2022,H_2022
2022-02-07,494.9,494.0,501.9,490.0,3588.0,H_2022,H_2022
2022-02-08,487.84,513.0,514.0,476.0,4444.0,H_2022,H_2022
2022-02-09,478.96,472.0,482.02,472.0,4042.0,H_2022,H_2022
2022-02-10,472.16,474.0,482.7,466.02,3016.0,H_2022,H_2022
2022-02-11,470.02,468.0,480.0,467.0,2078.0,H_2022,H_2022
2022-02-14,485.88,502.0,504.0,482.6,2756.0,H_2022,H_2022
2022-02-15,459.36,475.0,475.0,444.5,2442.0,H_2022,H_2022
2022-02-16,452.42,438.0,459.0,436.5,3190.0,H_2022,H_2022
2022-02-17,461.46,456.98,468.0,454.48,3344.0,H_2022,H_2022
2022-02-18,453.9,450.0,457.5,448.0,3308.0,H_2022,H_2022
2022-02-21,462.0,447.5,463.0,447.5,3462.0,H_2022,H_2022
2022-02-22,499.86,476.0,505.5,476.0,5392.0,H_2022,H_2022
2022-02-23,547.6600000000001,505.0,550.0,504.8,4166.0,H_2022,H_2022
2022-02-24,744.58,670.0,778.02,625.98,3900.0,H_2022,H_2022
2022-02-25,574.0,630.0,660.0,556.0,3606.0,H_2022,H_2022
2022-02-28,608.3,610.0,632.0,562.0,1688.0,H_2022,H_2022
2022-03-01,654.36,602.0,682.0,602.0,2354.0,J_2022,J_2022
2022-03-02,801.34,720.0,900.0,720.0,1942.0,J_2022,J_2022
2022-03-03,837.64,890.0,950.0,740.0,2720.0,J_2022,J_2022
2022-03-04,993.84,750.0,1052.0,750.0,4490.0,J_2022,J_2022
2022-03-07,1114.12,1050.0,1500.0,1010.0,1872.0,J_2022,J_2022
2022-03-08,1065.6,1180.0,1220.0,960.0,1814.0,J_2022,J_2022
2022-03-09,823.16,937.0,972.0,780.0,2348.0,J_2022,J_2022
2022-03-10,747.98,800.0,829.0,694.0,2170.0,J_2022,J_2022
2022-03-11,715.26,670.0,730.0,637.0,2374.0,J_2022,J_2022
2022-03-14,643.04,650.0,670.0,624.0,1606.0,J_2022,J_2022
2022-03-15,659.1800000000001,636.0,676.0,634.0,1998.0,J_2022,J_2022
2022-03-16,603.78,656.0,669.7,592.0,2496.0,J_2022,J_2022
2022-03-17,604.7,606.0,625.0,598.0,2698.0,J_2022,J_2022
2022-03-18,589.86,608.0,618.4,575.0,1842.0,J_2022,J_2022
2022-03-21,553.54,564.0,578.0,543.0,2602.0,J_2022,J_2022
2022-03-22,559.72,537.7,570.0,536.0,3180.0,J_2022,J_2022
2022-03-23,634.78,554.0,660.0,554.0,3132.0,J_2022,J_2022
2022-03-24,613.3399999999999,610.0,664.0,594.0,2884.0,J_2022,J_2022
2022-03-25,587.5799999999999,586.0,620.0,566.0,1952.0,J_2022,J_2022
2022-03-28,598.0,560.0,614.0,560.0,2086.0,J_2022,J_2022
2022-03-29,622.8199999999999,600.0,629.0,598.0,2580.0,J_2022,J_2022
2022-03-30,635.9,600.0,660.0,590.0,2786.0,J_2022,J_2022
2022-03-31,678.76,610.0,630.0,580.0,2394.0,J_2022,J_2022
2022-04-01,662.9,694.0,702.0,635.0,1242.0,K_2022,K_2022
2022-04-04,612.4200000000001,636.0,642.0,612.0,1788.0,K_2022,K_2022
2022-04-05,608.86,615.98,618.0,596.0,2502.0,K_2022,K_2022
2022-04-06,611.0,600.0,625.0,600.0,2544.0,K_2022,K_2022
2022-04-07,598.86,598.0,603.5,594.0,1656.0,K_2022,K_2022
2022-04-08,607.6,607.0,616.5,590.02,1492.0,K_2022,K_2022
2022-04-11,582.8,596.0,596.0,573.8,1188.0,K_2022,K_2022
2022-04-12,583.5,590.0,594.0,578.2,1480.0,K_2022,K_2022
2022-04-13,588.14,582.0,592.4,582.0,2074.0,K_2022,K_2022
2022-04-14,571.0,580.5,580.5,541.0,2786.0,K_2022,K_2022
2022-04-19,560.04,542.0,562.0,542.0,2944.0,K_2022,K_2022
2022-04-20,564.26,554.0,569.8,552.0,3660.0,K_2022,K_2022
2022-04-21,569.0,556.0,585.0,556.0,2894.0,K_2022,K_2022
2022-04-22,560.28,590.0,590.0,558.0,3248.0,K_2022,K_2022
2022-04-25,554.9200000000001,566.0,578.0,545.0,3246.0,K_2022,K_2022
2022-04-26,535.1,546.0,579.0,526.98,3214.0,K_2022,K_2022
2022-04-27,580.5,640.0,650.0,572.98,3444.0,K_2022,K_2022
2022-04-28,560.0,560.0,574.0,551.72,3058.0,K_2022,K_2022
2022-04-29,578.9200000000001,548.0,572.0,545.0,1996.0,K_2022,K_2022
2022-05-02,553.0,550.0,556.0,546.0,648.0,M_2022,M_2022
2022-05-03,559.9200000000001,536.3,567.5,536.3,2430.0,M_2022,M_2022
2022-05-04,578.94,554.98,589.9,554.98,2950.0,M_2022,M_2022
2022-05-05,587.98,586.0,598.0,579.0,2724.0,M_2022,M_2022
2022-05-06,569.0,581.0,587.0,560.0,2676.0,M_2022,M_2022
2022-05-09,546.6,559.0,559.4200000000001,535.8,1890.0,M_2022,M_2022
2022-05-10,533.62,524.8,570.0,521.0,3116.0,M_2022,M_2022
2022-05-11,547.3399999999999,562.0,562.0,538.0,3196.0,M_2022,M_2022
2022-05-12,587.3199999999999,570.0,614.0,564.0,3518.0,M_2022,M_2022
2022-05-13,563.62,586.0,586.0,552.5,1626.0,M_2022,M_2022
2022-05-16,547.6600000000001,542.52,551.0,539.98,2106.0,M_2022,M_2022
2022-05-17,554.0,536.0,560.0,528.0,2452.0,M_2022,M_2022
2022-05-18,547.0,544.0,560.0,542.0,2560.0,M_2022,M_2022
2022-05-19,535.4,544.0,546.0,530.0,2570.0,M_2022,M_2022
2022-05-20,532.8399999999999,528.0,536.0,523.6,2018.0,M_2022,M_2022
2022-05-23,518.6,518.0,525.0,513.0,1708.0,M_2022,M_2022
2022-05-24,519.3,520.0,528.0,519.0,2532.0,M_2022,M_2022
2022-05-25,520.0799999999999,524.0,528.0,519.5,2342.0,M_2022,M_2022
2022-05-26,519.76,525.0,525.0,517.38,858.0,M_2022,M_2022
2022-05-27,517.0,516.5,520.0,512.0,1040.0,M_2022,M_2022
2022-05-30,522.06,520.0,530.0,520.0,2240.0,M_2022,M_2022
2022-05-31,566.3399999999999,529.1,541.5,529.1,554.0,M_2022,M_2022
2022-06-01,544.78,546.02,550.0799999999999,537.0,1014.0,N_2022,N_2022
2022-06-02,530.02,532.1,537.8,526.0,726.0,N_2022,N_2022
2022-06-03,527.46,529.6600000000001,531.0,525.0,540.0,N_2022,N_2022
2022-06-06,521.12,522.0,524.0,515.5,1106.0,N_2022,N_2022
2022-06-07,511.96,516.0,516.0,507.9,1946.0,N_2022,N_2022
2022-06-08,501.2,514.02,514.02,499.8,1742.0,N_2022,N_2022
2022-06-09,521.0,530.0,539.0,518.0,2868.0,N_2022,N_2022
2022-06-10,514.38,518.0,518.0,511.0,1454.0,N_2022,N_2022
2022-06-13,513.4,506.0,516.6,505.5,1070.0,N_2022,N_2022
2022-06-14,558.1,518.0,563.8,514.5,2204.0,N_2022,N_2022
2022-06-15,622.0,578.0,662.0,574.0,4002.0,N_2022,N_2022
2022-06-16,695.38,670.0,748.0,637.0,3318.0,N_2022,N_2022
2022-06-17,645.8199999999999,650.0,686.0,623.0,1918.0,N_2022,N_2022
2022-06-20,663.86,639.8,668.0,638.0,1684.0,N_2022,N_2022
2022-06-21,678.78,668.0,688.0,668.0,2088.0,N_2022,N_2022
2022-06-22,699.02,677.0,709.0,672.0,2718.0,N_2022,N_2022
2022-06-23,724.0,694.0,736.0,694.0,3168.0,N_2022,N_2022
2022-06-24,701.78,740.0,742.0,695.0,2700.0,N_2022,N_2022
2022-06-27,697.98,724.0,724.0,681.0,2380.0,N_2022,N_2022
2022-06-28,696.92,684.0,700.5,674.0,2386.0,N_2022,N_2022
2022-06-29,722.34,692.0,730.0,690.0,3362.0,N_2022,N_2022
2022-06-30,780.04,734.0,740.0,712.2,1202.0,N_2022,N_2022
2022-07-01,759.68,788.1,788.1,742.0,1662.0,Q_2022,Q_2022
2022-07-04,817.9,766.0,840.0,765.5,2050.0,Q_2022,Q_2022
2022-07-05,838.34,850.0,868.0,830.0,3676.0,Q_2022,Q_2022
2022-07-06,873.96,810.02,897.0,800.0,2564.0,Q_2022,Q_2022
2022-07-07,953.86,900.0,966.0,897.78,2500.0,Q_2022,Q_2022
2022-07-08,898.22,922.0,946.0,865.0,2606.0,Q_2022,Q_2022
2022-07-11,878.22,880.1,912.0,850.0,2202.0,Q_2022,Q_2022
2022-07-12,878.78,870.1,896.0,856.2,2144.0,Q_2022,Q_2022
2022-07-13,888.36,890.0,906.0,884.0,2202.0,Q_2022,Q_2022
2022-07-14,893.42,899.0,914.0,884.0,1690.0,Q_2022,Q_2022
2022-07-15,835.94,876.0,882.0,820.0,1792.0,Q_2022,Q_2022
2022-07-18,820.0,840.0,850.0,810.2,1314.0,Q_2022,Q_2022
2022-07-19,805.1,820.0,842.0,790.5,2198.0,Q_2022,Q_2022
2022-07-20,778.12,806.0,820.0,773.98,1866.0,Q_2022,Q_2022
2022-07-21,782.16,770.0,794.0,756.0,2626.0,Q_2022,Q_2022
2022-07-22,826.16,806.0,829.2,806.0,2278.0,Q_2022,Q_2022
2022-07-25,852.84,820.0,878.0,806.0,1854.0,Q_2022,Q_2022
2022-07-26,942.5,890.0,992.0,890.0,2640.0,Q_2022,Q_2022
2022-07-27,977.62,1016.0,1040.0,920.0,3158.0,Q_2022,Q_2022
2022-07-28,959.32,944.0,962.0,944.0,1796.0,Q_2022,Q_2022
2022-07-29,958.38,938.0,945.0,895.4,1772.0,Q_2022,Q_2022
2022-08-01,970.44,970.0,986.0,960.0,832.0,U_2022,U_2022
2022-08-02,994.42,1000.0,1004.98,974.0,1530.0,U_2022,U_2022
2022-08-03,980.16,984.0,987.0,964.0,1770.0,U_2022,U_2022
2022-08-04,975.42,956.0,982.0,944.0,1774.0,U_2022,U_2022
2022-08-05,956.68,983.0,983.0,952.0,1304.0,U_2022,U_2022
2022-08-08,936.9,952.0,962.0,928.0,2298.0,U_2022,U_2022
2022-08-09,922.96,914.0,940.0,910.0,2448.0,U_2022,U_2022
2022-08-10,983.02,950.0,988.0,944.0,1814.0,U_2022,U_2022
2022-08-11,1003.48,1000.0,1022.0,983.0,2362.0,U_2022,U_2022
2022-08-12,983.76,971.02,987.34,964.0,1830.0,U_2022,U_2022
2022-08-15,1016.24,1010.0,1060.0,1006.0,1358.0,U_2022,U_2022
2022-08-16,1093.12,1068.0,1152.0,1046.0,2294.0,U_2022,U_2022
2022-08-17,1106.8400000000001,1080.0,1136.0,1078.0,2034.0,U_2022,U_2022
2022-08-18,1157.04,1130.0,1164.0,1114.0,2464.0,U_2022,U_2022
2022-08-19,1156.48,1142.0,1210.0,1114.0,2888.0,U_2022,U_2022
2022-08-22,1257.06,1300.0,1350.0,1256.0,1742.0,U_2022,U_2022
2022-08-23,1251.12,1294.0,1302.0,1226.0,2102.0,U_2022,U_2022
2022-08-24,1295.54,1270.0,1340.0,1200.0,2778.0,U_2022,U_2022
2022-08-25,1393.0,1370.0,1420.0,1358.0,2702.0,U_2022,U_2022
2022-08-26,1490.0,1250.0,1490.0,1250.0,2582.0,U_2022,U_2022
2022-08-29,1282.0,1340.0,1420.0,1250.0,2114.0,U_2022,U_2022
2022-08-30,1188.54,1250.0,1250.0,1140.0,2360.0,U_2022,U_2022
2022-08-31,1140.8,1170.0,1182.0,1070.0,682.0,U_2022,U_2022
2022-09-01,1118.94,1080.0,1150.0,1042.0,2076.0,V_2022,V_2022
2022-09-02,1061.2,1060.0,1116.0,1000.0,2510.0,V_2022,V_2022
2022-09-05,1136.42,1210.0,1280.0,1070.0,1524.0,V_2022,V_2022
2022-09-06,1054.1399999999999,1050.0,1098.0,994.0,1620.0,V_2022,V_2022
2022-09-07,1032.0,1110.0,1110.0,984.0,1834.0,V_2022,V_2022
2022-09-08,987.48,970.0,1024.0,922.0,2056.0,V_2022,V_2022
2022-09-09,960.8,980.0,990.0,945.0,1108.0,V_2022,V_2022
2022-09-12,915.74,899.8,940.0,890.0,1472.0,V_2022,V_2022
2022-09-13,916.46,890.0,946.0,865.0,1332.0,V_2022,V_2022
2022-09-14,998.64,930.0,1040.0,930.0,1890.0,V_2022,V_2022
2022-09-15,996.28,1030.0,1090.0,970.0,2306.0,V_2022,V_2022
2022-09-16,895.0,950.0,962.0,883.98,1952.0,V_2022,V_2022
2022-09-19,854.18,870.0,870.02,818.0,1592.0,V_2022,V_2022
2022-09-20,851.9,790.0,900.0,790.0,2724.0,V_2022,V_2022
2022-09-21,891.74,930.0,960.0,846.0,2656.0,V_2022,V_2022
2022-09-22,881.22,842.0,901.88,840.0,2940.0,V_2022,V_2022
2022-09-23,824.28,850.0,866.0,820.0,2602.0,V_2022,V_2022
2022-09-26,804.0,787.0,816.0,780.0,1846.0,V_2022,V_2022
2022-09-27,831.18,810.0,922.0,808.0,3334.0,V_2022,V_2022
2022-09-28,878.06,910.0,920.0,852.0,2530.0,V_2022,V_2022
2022-09-29,812.24,853.0,858.0,808.0,2170.0,V_2022,V_2022
